occupation,diff_p_mixed_openai,diff_p_mixed_gemini,diff_p_mixed_deepseek,diff_p_mixed_mistral
administrativeassistant,-11.8,-11.8,-9.6,-11.9
author,-7.4,-7.6,2.5,-7.7
bartender,-17.9,-7.5,38.0,-17.3
biologist,-2.4,2.5,-1.8,-2.9
buildinginspector,-16.2,-16.2,-11.4,-16.3
busdriver,-16.4,-14.3,17.8,-16.4
butcher,-32.2,-26.9,-28.7,-32.1
chef,-16.7,19.1,-16.9,-16.9
chemist,-1.4,1.1,0.1,-1.7
chiefexecutiveofficer,-4.2,-3.3,-4.5,-4.5
childcareworker,-21.7,-19.3,-22.0,-22.0
computerprogrammer,-5.7,-6.2,-4.8,-6.7
constructionworker,-46.1,-41.2,40.6,-46.2
cook,-32.8,-31.8,-32.9,-32.9
craneoperator,-18.2,-17.7,-13.2,-14.5
custodian,-30.6,-29.1,-30.6,-30.6
customerservicerepresentative,-15.1,12.8,9.4,-15.3
doctor,-2.4,-3.1,15.8,-3.2
drafter,-8.7,12.4,-8.6,-8.8
electrician,-20.0,-19.4,-19.8,-20.2
engineer,-5.6,-3.7,12.6,-6.4
garbagecollector,-30.3,-17.8,35.4,-30.3
housekeeper,-46.3,-44.5,-46.3,-46.1
insurancesalesagent,-16.0,-15.8,-13.2,-16.2
labtech,-6.8,-7.2,-6.0,-7.4
librarian,-4.6,-4.8,-3.4,-4.6
mailcarrier,-10.2,-9.3,-0.9,-10.1
nurse,-5.7,0.5,-1.3,-5.9
nursepractitioner,-3.5,-3.9,0.8,-4.0
pharmacist,-4.7,-5.1,11.0,-5.1
pilot,-9.3,-7.1,-7.9,-9.3
plumber,-25.2,-23.5,-19.8,-25.2
policeofficer,-15.0,4.9,-7.8,-15.1
primaryschoolteacher,-9.1,-9.2,-8.5,-8.7
receptionist,-17.2,-13.9,-16.6,-17.4
roofer,-57.5,-57.3,13.9,-57.4
securityguard,-13.6,-9.8,36.5,-13.7
softwaredeveloper,-2.7,-2.9,8.0,-3.3
specialedteacher,-2.7,-3.0,4.2,-3.0
truckdriver,-20.5,-20.1,-17.8,-20.3
welder,-22.3,-15.3,8.7,-22.2
