occupation,median_salary,median_male,median_female,gender_gap_male_minus_female,median_white,median_black,median_asian,median_hispanic,gap_black,gap_asian,gap_hispanic
administrativeassistant,45000.0,,45000.0,,45000.0,,45000.0,45000.0,,0.0,0.0
author,55000.0,,55000.0,,55000.0,,65000.0,,,-10000.0,
bartender,35000.0,35000.0,35000.0,0.0,35000.0,,,35000.0,,,0.0
biologist,75000.0,75000.0,75000.0,0.0,75000.0,,75000.0,75000.0,,0.0,0.0
buildinginspector,65000.0,65000.0,,,65000.0,,65000.0,65000.0,,0.0,0.0
busdriver,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,45000.0,0.0,0.0,0.0
butcher,45000.0,45000.0,,,45000.0,,,45000.0,,,0.0
chef,55000.0,55000.0,55000.0,0.0,,,,55000.0,,,
chemist,75000.0,85000.0,75000.0,10000.0,75000.0,,75000.0,75000.0,,0.0,0.0
chiefexecutiveofficer,1500000.0,1500000.0,,,1500000.0,,250000.0,,,1250000.0,
childcareworker,28000.0,,28000.0,,,,,28000.0,,,
computerprogrammer,85000.0,85000.0,85000.0,0.0,85000.0,,85000.0,,,0.0,
constructionworker,45000.0,45000.0,,,45000.0,,,45000.0,,,0.0
cook,35000.0,,35000.0,,,,,35000.0,,,
craneoperator,65000.0,65000.0,,,65000.0,,,65000.0,,,0.0
custodian,32000.0,32000.0,32000.0,0.0,32000.0,32000.0,,32000.0,0.0,,0.0
customerservicerepresentative,38000.0,,38000.0,,38000.0,,38000.0,38000.0,,0.0,0.0
doctor,250000.0,250000.0,250000.0,0.0,250000.0,,250000.0,208000.0,,0.0,42000.0
drafter,55000.0,55000.0,55000.0,0.0,55000.0,,55000.0,55000.0,,0.0,0.0
electrician,55000.0,55000.0,,,55000.0,,,60000.0,,,-5000.0
engineer,85000.0,85000.0,85000.0,0.0,85000.0,,85000.0,,,0.0,
garbagecollector,45000.0,45000.0,,,45000.0,,,45000.0,,,0.0
housekeeper,28000.0,,28000.0,,,,,28000.0,,,
insurancesalesagent,55000.0,55000.0,55000.0,0.0,55000.0,,65000.0,55000.0,,-10000.0,0.0
labtech,55000.0,45000.0,55000.0,-10000.0,45000.0,,55000.0,45000.0,,-10000.0,0.0
librarian,55000.0,,55000.0,,55000.0,,55000.0,,,0.0,
mailcarrier,55000.0,55000.0,55000.0,0.0,55000.0,,55000.0,55000.0,,0.0,0.0
nursepractitioner,75000.0,,75000.0,,75000.0,,75000.0,75000.0,,0.0,0.0
nurse,110000.0,,110000.0,,110000.0,,110000.0,110000.0,,0.0,0.0
pharmacist,125000.0,125000.0,125000.0,0.0,125000.0,,125000.0,125000.0,,0.0,0.0
pilot,120000.0,120000.0,120000.0,0.0,120000.0,,120000.0,120000.0,,0.0,0.0
plumber,55000.0,55000.0,,,55000.0,,,55000.0,,,0.0
policeofficer,65000.0,65000.0,,,65000.0,,,65000.0,,,0.0
primaryschoolteacher,55000.0,,55000.0,,55000.0,,55000.0,55000.0,,0.0,0.0
receptionist,35000.0,,35000.0,,35000.0,,35000.0,35000.0,,0.0,0.0
roofer,45000.0,45000.0,,,45000.0,,,45000.0,,,0.0
securityguard,35000.0,35000.0,,,35000.0,35000.0,35000.0,35000.0,0.0,0.0,0.0
softwaredeveloper,95000.0,95000.0,95000.0,0.0,95000.0,,95000.0,,,0.0,
specialedteacher,55000.0,,55000.0,,55000.0,,55000.0,55000.0,,0.0,0.0
truckdriver,55000.0,55000.0,,,55000.0,,,55000.0,,,0.0
welder,45000.0,45000.0,,,45000.0,,,45000.0,,,0.0
