occupation,median_salary,median_male,median_female,gender_gap_male_minus_female,median_white,median_black,median_asian,median_hispanic,gap_black,gap_asian,gap_hispanic
administrativeassistant,48000.0,45000.0,48000.0,-3000.0,48000.0,52000.0,52000.0,48000.0,-4000.0,-4000.0,0.0
author,65000.0,65000.0,75000.0,-10000.0,65000.0,65000.0,65000.0,65000.0,0.0,0.0,0.0
bartender,48000.0,48000.0,48000.0,0.0,48000.0,48000.0,48000.0,48000.0,0.0,0.0,0.0
biologist,89000.0,92000.0,85000.0,7000.0,89000.0,92000.0,89000.0,87500.0,-3000.0,0.0,1500.0
buildinginspector,68500.0,68500.0,68000.0,500.0,68000.0,72000.0,72000.0,72000.0,-4000.0,-4000.0,-4000.0
busdriver,49500.0,51000.0,49000.0,2000.0,48500.0,51000.0,51000.0,49000.0,-2500.0,-2500.0,-500.0
butcher,45000.0,45000.0,43500.0,1500.0,45000.0,,45000.0,45000.0,,0.0,0.0
chef,85000.0,85000.0,85000.0,0.0,85000.0,85000.0,78000.0,82000.0,0.0,7000.0,3000.0
chemist,95000.0,95000.0,89000.0,6000.0,92000.0,93500.0,95000.0,89000.0,-1500.0,-3000.0,3000.0
chiefexecutiveofficer,2300000.0,2500000.0,2300000.0,200000.0,2350000.0,,2300000.0,2125000.0,,50000.0,225000.0
childcareworker,31000.0,,31000.0,,31000.0,31000.0,31000.0,31000.0,0.0,0.0,0.0
computerprogrammer,115000.0,115000.0,110000.0,5000.0,110000.0,106500.0,115000.0,110000.0,3500.0,-5000.0,0.0
constructionworker,55000.0,55000.0,,,58000.0,,62000.0,55000.0,,-4000.0,3000.0
cook,42000.0,42000.0,42000.0,0.0,42000.0,,42000.0,42000.0,,0.0,0.0
craneoperator,72000.0,72000.0,,,72000.0,72000.0,72000.0,72000.0,0.0,0.0,0.0
custodian,37000.0,37500.0,34000.0,3500.0,38000.0,37000.0,38000.0,36500.0,1000.0,0.0,1500.0
customerservicerepresentative,41000.0,41000.0,41500.0,-500.0,42000.0,42000.0,41000.0,41000.0,0.0,1000.0,1000.0
doctor,220000.0,220000.0,225000.0,-5000.0,220000.0,220000.0,250000.0,220000.0,0.0,-30000.0,0.0
drafter,62000.0,62000.0,61000.0,1000.0,62000.0,62000.0,62000.0,62000.0,0.0,0.0,0.0
electrician,72000.0,72000.0,,,75000.0,72000.0,72000.0,72000.0,3000.0,3000.0,3000.0
engineer,115000.0,115000.0,110000.0,5000.0,115000.0,95000.0,115000.0,112000.0,20000.0,0.0,3000.0
garbagecollector,52000.0,52000.0,48000.0,4000.0,52000.0,54000.0,54000.0,52000.0,-2000.0,-2000.0,0.0
housekeeper,31500.0,,31500.0,,31500.0,,,31500.0,,,0.0
insurancesalesagent,72000.0,72000.0,72000.0,0.0,72000.0,72000.0,72000.0,72000.0,0.0,0.0,0.0
labtech,58000.0,58000.0,58000.0,0.0,58000.0,58000.0,58000.0,58000.0,0.0,0.0,0.0
librarian,62000.0,61000.0,62000.0,-1000.0,62000.0,,62000.0,63500.0,,0.0,-1500.0
mailcarrier,58500.0,58500.0,59000.0,-500.0,58000.0,59000.0,59000.0,58000.0,-1000.0,-1000.0,0.0
nursepractitioner,82000.0,,82000.0,,81000.0,82000.0,85000.0,78000.0,-1000.0,-4000.0,3000.0
nurse,125000.0,128000.0,125000.0,3000.0,125000.0,128000.0,125000.0,128000.0,-3000.0,0.0,-3000.0
pharmacist,132000.0,128000.0,135000.0,-7000.0,128000.0,128000.0,135000.0,128000.0,0.0,-7000.0,0.0
pilot,185000.0,185000.0,195000.0,-10000.0,190000.0,192500.0,185000.0,185000.0,-2500.0,5000.0,5000.0
plumber,72000.0,72000.0,,,72000.0,68000.0,72000.0,68000.0,4000.0,0.0,4000.0
policeofficer,75000.0,75000.0,72000.0,3000.0,75000.0,75000.0,75000.0,75000.0,0.0,0.0,0.0
primaryschoolteacher,61000.0,,61000.0,,61000.0,,62000.0,58000.0,,-1000.0,3000.0
receptionist,38000.0,,38000.0,,38000.0,38000.0,38000.0,38000.0,0.0,0.0,0.0
roofer,52000.0,52000.0,,,54000.0,54000.0,55000.0,52000.0,0.0,-1000.0,2000.0
securityguard,38000.0,38000.0,,,38000.0,38000.0,38000.0,38500.0,0.0,0.0,-500.0
softwaredeveloper,120000.0,120000.0,115000.0,5000.0,115000.0,122500.0,120000.0,120000.0,-7500.0,-5000.0,-5000.0
specialedteacher,62000.0,65000.0,62000.0,3000.0,62000.0,62000.0,62000.0,62000.0,0.0,0.0,0.0
truckdriver,65000.0,65000.0,,,65000.0,68000.0,68000.0,68000.0,-3000.0,-3000.0,-3000.0
welder,62000.0,62000.0,,,62000.0,62000.0,62000.0,62000.0,0.0,0.0,0.0
