occupation,median_salary,median_male,median_female,gender_gap_male_minus_female,median_white,median_black,median_asian,median_hispanic,gap_black,gap_asian,gap_hispanic
administrativeassistant,45000.0,,45000.0,,45000.0,,45000.0,45000.0,,0.0,0.0
author,65000.0,,65000.0,,65000.0,,65000.0,65000.0,,0.0,0.0
bartender,35000.0,35000.0,35000.0,0.0,35000.0,38000.0,33500.0,35000.0,-3000.0,1500.0,0.0
biologist,75000.0,,75000.0,,75000.0,,75000.0,75000.0,,0.0,0.0
buildinginspector,65000.0,65000.0,,,65000.0,,65000.0,65000.0,,0.0,0.0
busdriver,45000.0,45000.0,,,42000.0,48000.0,,42000.0,-6000.0,,0.0
butcher,45000.0,45000.0,,,45000.0,45000.0,,45000.0,0.0,,0.0
chef,65000.0,65000.0,65000.0,0.0,65000.0,65000.0,65000.0,65000.0,0.0,0.0,0.0
chemist,85000.0,85000.0,85000.0,0.0,75000.0,,85000.0,75000.0,,-10000.0,0.0
chiefexecutiveofficer,1500000.0,1500000.0,1500000.0,0.0,1500000.0,,1500000.0,1500000.0,,0.0,0.0
childcareworker,28000.0,,28000.0,,28000.0,28000.0,,28000.0,0.0,,0.0
computerprogrammer,95000.0,95000.0,95000.0,0.0,95000.0,,95000.0,95000.0,,0.0,0.0
constructionworker,55000.0,55000.0,,,55000.0,48000.0,,45000.0,7000.0,,10000.0
cook,45000.0,45000.0,45000.0,0.0,36000.0,,,45000.0,,,-9000.0
craneoperator,65000.0,65000.0,,,65000.0,72000.0,,72000.0,-7000.0,,-7000.0
custodian,32000.0,32000.0,,,32000.0,32000.0,,32000.0,0.0,,0.0
customerservicerepresentative,35000.0,38000.0,35000.0,3000.0,35000.0,,38000.0,35000.0,,-3000.0,0.0
doctor,180000.0,,180000.0,,180000.0,,180000.0,180000.0,,0.0,0.0
drafter,65000.0,65000.0,65000.0,0.0,65000.0,65000.0,65000.0,58000.0,0.0,0.0,7000.0
electrician,65000.0,65000.0,,,65000.0,62000.0,65000.0,65000.0,3000.0,0.0,0.0
engineer,95000.0,95000.0,85000.0,10000.0,95000.0,,95000.0,85000.0,,0.0,10000.0
garbagecollector,42000.0,42000.0,,,40000.0,40000.0,,42000.0,0.0,,-2000.0
housekeeper,28000.0,,28000.0,,32000.0,,,28000.0,,,4000.0
insurancesalesagent,62000.0,65000.0,55000.0,10000.0,65000.0,,65000.0,55000.0,,0.0,10000.0
labtech,55000.0,55000.0,55000.0,0.0,48000.0,,55000.0,45000.0,,-7000.0,3000.0
librarian,48000.0,,48000.0,,45000.0,,50000.0,45000.0,,-5000.0,0.0
mailcarrier,55000.0,55000.0,52000.0,3000.0,55000.0,55000.0,,55000.0,0.0,,0.0
nursepractitioner,110000.0,,110000.0,,110000.0,,110000.0,110000.0,,0.0,0.0
nurse,75000.0,,75000.0,,75000.0,,75000.0,75000.0,,0.0,0.0
pharmacist,120000.0,120000.0,120000.0,0.0,120000.0,,120000.0,120000.0,,0.0,0.0
pilot,120000.0,120000.0,120000.0,0.0,120000.0,,120000.0,120000.0,,0.0,0.0
plumber,55000.0,55000.0,,,55000.0,62000.0,,55000.0,-7000.0,,0.0
policeofficer,65000.0,65000.0,,,65000.0,65000.0,,65000.0,0.0,,0.0
primaryschoolteacher,52000.0,,52000.0,,55000.0,,55000.0,52000.0,,0.0,3000.0
receptionist,32000.0,,32000.0,,32000.0,,32000.0,32000.0,,0.0,0.0
roofer,50000.0,50000.0,,,50000.0,48000.0,,50000.0,2000.0,,0.0
securityguard,32000.0,32000.0,,,32000.0,32000.0,,32000.0,0.0,,0.0
softwaredeveloper,95000.0,95000.0,95000.0,0.0,95000.0,,95000.0,95000.0,,0.0,0.0
specialedteacher,52000.0,,52000.0,,52000.0,,52000.0,52000.0,,0.0,0.0
truckdriver,55000.0,55000.0,,,55000.0,68000.0,,56500.0,-13000.0,,-1500.0
welder,55000.0,55000.0,,,55000.0,55000.0,,55000.0,0.0,,0.0
