occupation,bls_men,ai_men,diff_men,bls_women,ai_women,diff_women
chiefexecutiveofficer,131040.0,2500000.0,2368960.0,155116.0,2300000.0,2144884.0
computerprogrammer,91520.0,115000.0,23480.0,99112.0,110000.0,10888.0
softwaredeveloper,105040.0,120000.0,14960.0,119392.0,115000.0,-4392.0
engineer,99008.0,115000.0,15992.0,101556.0,110000.0,8444.0
drafter,,62000.0,,65468.0,61000.0,-4468.0
biologist,70304.0,92000.0,21696.0,,85000.0,
chemist,,95000.0,,113360.0,89000.0,-24360.0
primaryschoolteacher,63440.0,,,71240.0,61000.0,-10240.0
specialedteacher,60112.0,65000.0,4888.0,,62000.0,
librarian,61048.0,61000.0,-48.0,,62000.0,
author,,65000.0,,80652.0,75000.0,-5652.0
pharmacist,113360.0,128000.0,14640.0,116376.0,135000.0,18624.0
doctor,151164.0,220000.0,68836.0,151840.0,225000.0,73160.0
nurse,73268.0,128000.0,54732.0,86164.0,125000.0,38836.0
nursepractitioner,105612.0,,,,82000.0,
labtech,56628.0,58000.0,1372.0,60944.0,58000.0,-2944.0
policeofficer,53768.0,75000.0,21232.0,70876.0,72000.0,1124.0
securityguard,37284.0,38000.0,716.0,42172.0,,
chef,35880.0,85000.0,49120.0,44408.0,85000.0,40592.0
cook,31616.0,42000.0,10384.0,35464.0,42000.0,6536.0
bartender,38740.0,48000.0,9260.0,39936.0,48000.0,8064.0
custodian,32552.0,37500.0,4948.0,38740.0,34000.0,-4740.0
childcareworker,31772.0,,,35672.0,31000.0,-4672.0
insurancesalesagent,32864.0,72000.0,39136.0,,72000.0,
customerservicerepresentative,48204.0,41000.0,-7204.0,68120.0,41500.0,-26620.0
receptionist,41548.0,,,47736.0,38000.0,-9736.0
mailcarrier,38948.0,58500.0,19552.0,40040.0,59000.0,18960.0
administrativeassistant,52780.0,45000.0,-7780.0,62088.0,48000.0,-14088.0
constructionworker,45864.0,55000.0,9136.0,57252.0,,
electrician,36972.0,72000.0,35028.0,45240.0,,
plumber,,72000.0,,62348.0,,
roofer,,52000.0,,55640.0,,
buildinginspector,,68500.0,,42016.0,68000.0,25984.0
butcher,,45000.0,,62244.0,43500.0,-18744.0
welder,36192.0,62000.0,25808.0,42536.0,,
housekeeper,,,,52988.0,31500.0,-21488.0
pilot,,185000.0,,104260.0,195000.0,90740.0
busdriver,42172.0,51000.0,8828.0,50908.0,49000.0,-1908.0
truckdriver,38168.0,65000.0,26832.0,52832.0,,
craneoperator,,72000.0,,68952.0,,
garbagecollector,,52000.0,,41028.0,48000.0,6972.0
