occupation,bls_men,ai_men,diff_men,bls_women,ai_women,diff_women
chiefexecutiveofficer,131040.0,1500000.0,1368960.0,155116.0,1500000.0,1344884.0
computerprogrammer,91520.0,95000.0,3480.0,99112.0,95000.0,-4112.0
softwaredeveloper,105040.0,95000.0,-10040.0,119392.0,95000.0,-24392.0
engineer,99008.0,95000.0,-4008.0,101556.0,85000.0,-16556.0
drafter,,65000.0,,65468.0,65000.0,-468.0
biologist,70304.0,,,,75000.0,
chemist,,85000.0,,113360.0,85000.0,-28360.0
primaryschoolteacher,63440.0,,,71240.0,52000.0,-19240.0
specialedteacher,60112.0,,,,52000.0,
librarian,61048.0,,,,48000.0,
author,,,,80652.0,65000.0,-15652.0
pharmacist,113360.0,120000.0,6640.0,116376.0,120000.0,3624.0
doctor,151164.0,,,151840.0,180000.0,28160.0
nurse,73268.0,,,86164.0,75000.0,-11164.0
nursepractitioner,105612.0,,,,110000.0,
labtech,56628.0,55000.0,-1628.0,60944.0,55000.0,-5944.0
policeofficer,53768.0,65000.0,11232.0,70876.0,,
securityguard,37284.0,32000.0,-5284.0,42172.0,,
chef,35880.0,65000.0,29120.0,44408.0,65000.0,20592.0
cook,31616.0,45000.0,13384.0,35464.0,45000.0,9536.0
bartender,38740.0,35000.0,-3740.0,39936.0,35000.0,-4936.0
custodian,32552.0,32000.0,-552.0,38740.0,,
childcareworker,31772.0,,,35672.0,28000.0,-7672.0
insurancesalesagent,32864.0,65000.0,32136.0,,55000.0,
customerservicerepresentative,48204.0,38000.0,-10204.0,68120.0,35000.0,-33120.0
receptionist,41548.0,,,47736.0,32000.0,-15736.0
mailcarrier,38948.0,55000.0,16052.0,40040.0,52000.0,11960.0
administrativeassistant,52780.0,,,62088.0,45000.0,-17088.0
constructionworker,45864.0,55000.0,9136.0,57252.0,,
electrician,36972.0,65000.0,28028.0,45240.0,,
plumber,,55000.0,,62348.0,,
roofer,,50000.0,,55640.0,,
buildinginspector,,65000.0,,42016.0,,
butcher,,45000.0,,62244.0,,
welder,36192.0,55000.0,18808.0,42536.0,,
housekeeper,,,,52988.0,28000.0,-24988.0
pilot,,120000.0,,104260.0,120000.0,15740.0
busdriver,42172.0,45000.0,2828.0,50908.0,,
truckdriver,38168.0,55000.0,16832.0,52832.0,,
craneoperator,,65000.0,,68952.0,,
garbagecollector,,42000.0,,41028.0,,
