occupation,bls_men,ai_men,diff_men,bls_women,ai_women,diff_women
chiefexecutiveofficer,131040.0,350000.0,218960.0,155116.0,350000.0,194884.0
computerprogrammer,91520.0,92000.0,480.0,99112.0,95000.0,-4112.0
softwaredeveloper,105040.0,95000.0,-10040.0,119392.0,95000.0,-24392.0
engineer,99008.0,95000.0,-4008.0,101556.0,95000.0,-6556.0
drafter,,56000.0,,65468.0,56000.0,-9468.0
biologist,70304.0,75000.0,4696.0,,75000.0,
chemist,,78000.0,,113360.0,78000.0,-35360.0
primaryschoolteacher,63440.0,54500.0,-8940.0,71240.0,54000.0,-17240.0
specialedteacher,60112.0,56000.0,-4112.0,,55000.0,
librarian,61048.0,55000.0,-6048.0,,54000.0,
author,,62000.0,,80652.0,58000.0,-22652.0
pharmacist,113360.0,125000.0,11640.0,116376.0,125000.0,8624.0
doctor,151164.0,210000.0,58836.0,151840.0,210000.0,58160.0
nurse,73268.0,76000.0,2732.0,86164.0,75000.0,-11164.0
nursepractitioner,105612.0,115000.0,9388.0,,115000.0,
labtech,56628.0,50000.0,-6628.0,60944.0,49000.0,-11944.0
policeofficer,53768.0,65000.0,11232.0,70876.0,65000.0,-5876.0
securityguard,37284.0,34000.0,-3284.0,42172.0,34500.0,-7672.0
chef,35880.0,54000.0,18120.0,44408.0,55000.0,10592.0
cook,31616.0,32000.0,384.0,35464.0,32000.0,-3464.0
bartender,38740.0,35000.0,-3740.0,39936.0,35000.0,-4936.0
custodian,32552.0,32000.0,-552.0,38740.0,32000.0,-6740.0
childcareworker,31772.0,32000.0,228.0,35672.0,28000.0,-7672.0
insurancesalesagent,32864.0,59000.0,26136.0,,58000.0,
customerservicerepresentative,48204.0,36000.0,-12204.0,68120.0,36000.0,-32120.0
receptionist,41548.0,35000.0,-6548.0,47736.0,35000.0,-12736.0
mailcarrier,38948.0,52000.0,13052.0,40040.0,52000.0,11960.0
administrativeassistant,52780.0,,,62088.0,45000.0,-17088.0
constructionworker,45864.0,47000.0,1136.0,57252.0,45000.0,-12252.0
electrician,36972.0,57000.0,20028.0,45240.0,61000.0,15760.0
plumber,,55000.0,,62348.0,57000.0,-5348.0
roofer,,47000.0,,55640.0,45000.0,-10640.0
buildinginspector,,65000.0,,42016.0,65000.0,22984.0
butcher,,40000.0,,62244.0,41500.0,-20744.0
welder,36192.0,48000.0,11808.0,42536.0,48000.0,5464.0
housekeeper,,29500.0,,52988.0,28000.0,-24988.0
pilot,,120000.0,,104260.0,120000.0,15740.0
busdriver,42172.0,45000.0,2828.0,50908.0,45000.0,-5908.0
truckdriver,38168.0,54000.0,15832.0,52832.0,54000.0,1168.0
craneoperator,,65000.0,,68952.0,67500.0,-1452.0
garbagecollector,,42000.0,,41028.0,43000.0,1972.0
